DATE,AVELISPRICO
2016-07-01,806949.0
2016-08-01,802811.0
2016-09-01,798165.0
2016-10-01,802178.0
2016-11-01,812711.0
2016-12-01,861951.0
2017-01-01,906326.0
2017-02-01,928695.0
2017-03-01,923483.0
2017-04-01,898308.0
2017-05-01,856868.0
2017-06-01,846579.0
2017-07-01,853204.0
2017-08-01,853846.0
2017-09-01,854254.0
2017-10-01,866612.0
2017-11-01,887039.0
2017-12-01,933170.0
2018-01-01,969138.0
2018-02-01,1003378.0
2018-03-01,993208.0
2018-04-01,949324.0
2018-05-01,897520.0
2018-06-01,893805.0
2018-07-01,899745.0
2018-08-01,878445.0
2018-09-01,861264.0
2018-10-01,847369.0
2018-11-01,850161.0
2018-12-01,889335.0
2019-01-01,932213.0
2019-02-01,943792.0
2019-03-01,931330.0
2019-04-01,903558.0
2019-05-01,877591.0
2019-06-01,871576.0
2019-07-01,876572.0
2019-08-01,873070.0
2019-09-01,871240.0
2019-10-01,870415.0
2019-11-01,885251.0
2019-12-01,937159.0
2020-01-01,990477.0
2020-02-01,1036573.0
2020-03-01,1011130.0
2020-04-01,925936.0
2020-05-01,887366.0
2020-06-01,913468.0
2020-07-01,955490.0
2020-08-01,1038743.0
2020-09-01,1061607.0
2020-10-01,1073552.0
2020-11-01,1092623.0
2020-12-01,1183009.0
2021-01-01,1256035.0
2021-02-01,1266031.0
2021-03-01,1295611.0
2021-04-01,1294076.0
2021-05-01,1241015.0
2021-06-01,1205115.0
2021-07-01,1198678.0
2021-08-01,1205007.0
2021-09-01,1170141.0
2021-10-01,1166200.0
2021-11-01,1174405.0
2021-12-01,1170922.0
2022-01-01,1343551.0
2022-02-01,1367075.0
2022-03-01,1336562.0
2022-04-01,1268128.0
2022-05-01,1174770.0
2022-06-01,1124770.0
2022-07-01,1113758.0
2022-08-01,1106129.0
2022-09-01,1091997.0
2022-10-01,1077925.0
2022-11-01,1044780.0
2022-12-01,1085792.0
2023-01-01,1172478.0
2023-02-01,1241378.0
2023-03-01,1295005.0
