DATE,AVELISPRI35380
2016-07-01,355783.0
2016-08-01,351718.0
2016-09-01,352522.0
2016-10-01,351796.0
2016-11-01,351346.0
2016-12-01,351892.0
2017-01-01,357667.0
2017-02-01,359210.0
2017-03-01,365653.0
2017-04-01,370319.0
2017-05-01,380302.0
2017-06-01,384975.0
2017-07-01,379874.0
2017-08-01,378173.0
2017-09-01,373426.0
2017-10-01,378503.0
2017-11-01,381790.0
2017-12-01,379383.0
2018-01-01,377162.0
2018-02-01,380959.0
2018-03-01,385984.0
2018-04-01,394725.0
2018-05-01,399591.0
2018-06-01,394124.0
2018-07-01,393420.0
2018-08-01,393197.0
2018-09-01,391225.0
2018-10-01,391303.0
2018-11-01,386515.0
2018-12-01,381002.0
2019-01-01,376973.0
2019-02-01,384234.0
2019-03-01,393863.0
2019-04-01,404047.0
2019-05-01,409192.0
2019-06-01,406811.0
2019-07-01,403284.0
2019-08-01,395277.0
2019-09-01,395082.0
2019-10-01,394321.0
2019-11-01,395132.0
2019-12-01,391996.0
2020-01-01,391457.0
2020-02-01,392010.0
2020-03-01,396513.0
2020-04-01,395883.0
2020-05-01,411424.0
2020-06-01,422965.0
2020-07-01,439940.0
2020-08-01,452643.0
2020-09-01,460124.0
2020-10-01,470648.0
2020-11-01,461924.0
2020-12-01,459660.0
2021-01-01,449330.0
2021-02-01,460275.0
2021-03-01,469898.0
2021-04-01,487050.0
2021-05-01,491582.0
2021-06-01,488000.0
2021-07-01,478967.0
2021-08-01,472752.0
2021-09-01,474955.0
2021-10-01,476097.0
2021-11-01,488782.0
2021-12-01,481400.0
2022-01-01,486985.0
2022-02-01,486475.0
2022-03-01,481578.0
2022-04-01,476306.0
2022-05-01,476818.0
2022-06-01,476030.0
2022-07-01,465012.0
2022-08-01,451663.0
2022-09-01,447770.0
2022-10-01,447565.0
2022-11-01,450080.0
2022-12-01,444213.0
2023-01-01,446065.0
2023-02-01,454203.0
2023-03-01,458514.0
