Date,94015.0,93950.0,93109.0,33137.0,33129.0,33131.0,33308.0,33062.0,70124.0,70122.0,70126.0,77505.0,77058.0,77015.0,10069.0,10010.0,10305.0,10314.0,11214.0,11209.0,94014.0,93940.0,93108.0,33127.0,33145.0,33130.0,33060.0,70118.0,70119.0,77504.0,77062.0,10023.0,10003.0,10304.0,11204.0,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
2010-01,,749900.0,,,,300000.0,356200.0,339000.0,289000.0,,,169500.0,,96900.0,,,384450.0,,,,,,,,,,,,,,164888.5,,,,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
2010-02,,699000.0,,,,305000.0,349900.0,329000.0,270300.0,,,168000.0,,94950.0,,,382450.0,,,,,,,,,,,,,,167000.0,,,,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
2010-03,,699000.0,,,,299000.0,309000.0,291027.5,282450.0,,,166000.0,,91000.0,,,380000.0,,,,,,,,,,,,,,169900.0,,,,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
2010-04,,670000.0,,,,298000.0,299000.0,285855.0,262000.0,,,164700.0,,89900.0,,,375000.0,,,,,,,,,,,,,,169900.0,,,,,335204.0,7.44,84.6,7.51,11.65,84.26,11.73,14.99
2010-05,,675000.0,,,,319000.0,299000.0,275000.0,269000.0,,,164900.0,,89900.0,,,375000.0,,,,,,,,,,,,,,169500.0,,,,,336418.59,10.23,85.01,8.67,14.47,84.8,12.92,16.93
2010-06,,642450.0,,,,299900.0,295000.0,259838.5,260000.0,,,163250.0,,89900.0,,,372450.0,,,,,,,,,,,,,,167500.0,,,,,336233.59,11.25,84.38,9.95,15.51,84.35,14.21,17.66
2010-07,,635000.0,,,,299000.0,298000.0,259950.0,269000.0,,,165900.0,,89000.0,,,369900.0,,,,,,,,,,,,,,163950.0,,,,,336201.91,10.64,81.92,10.02,14.92,82.0,14.31,15.38
2010-08,,649000.0,,,,299000.0,299000.0,264450.0,280000.0,,,177000.0,,89900.0,,,369000.0,,,,,,,,,,,,,,162900.0,,,,,331431.5,11.25,85.96,10.05,15.56,86.31,14.35,12.1
2010-09,,625000.0,,,,325000.0,325000.0,280000.0,298500.0,,,179900.0,,95950.0,,,376000.0,,,,,,,,,,,,,,159900.0,,,,,330917.41,12.23,89.98,10.9,16.53,90.33,15.22,10.46
2010-10,,604999.5,,,,299000.0,303250.0,282450.0,292000.0,,,183450.0,,92099.5,,,375000.0,,,,,,,,,,,,,,159900.0,,,,,330143.91,14.23,90.22,11.4,18.59,90.42,15.75,10.61
2010-11,,595000.0,,,,300000.0,317000.0,280000.0,284500.0,,,182000.0,,92223.0,,,374900.0,,,,,,,,,,,,,,159900.0,,,,,334243.0,10.15,88.19,9.22,14.5,88.34,13.57,10.08
2010-12,,597499.5,,,,309000.0,317000.0,277000.0,284000.0,,,179900.0,,89949.5,,,369000.0,,,,,,,,,,,,,,159000.0,,,,,335600.69,5.79,88.22,6.6,10.17,88.07,10.96,9.85
2011-01,,592500.0,,,,310000.0,300000.0,275000.0,269000.0,,,179900.0,,89900.0,,,364900.0,,,,,,,,,,,,,,157900.0,,,,,337258.41,4.02,91.83,4.99,8.4,91.72,9.37,10.03
2011-02,,549450.0,,,,344950.0,299999.5,285000.0,259000.0,,,172500.0,,89000.0,,,350000.0,,,,,,,,,,,,,,159000.0,,,,,334478.31,4.76,90.63,4.1,9.12,90.4,8.5,10.02
2011-03,,596773.0,,,,340000.0,300000.0,275000.0,274000.0,,,171200.0,,89900.0,,,356950.0,,,,,,,,,,,,,,159900.0,,,,,337186.19,3.34,91.53,2.48,7.78,91.31,6.92,9.0
