Date,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
2010-01,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
2010-02,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
2010-03,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
2010-04,335204.0,7.44,84.6,7.51,11.65,84.26,11.73,14.99
2010-05,336418.59,10.23,85.01,8.67,14.47,84.8,12.92,16.93
2010-06,336233.59,11.25,84.38,9.95,15.51,84.35,14.21,17.66
2010-07,336201.91,10.64,81.92,10.02,14.92,82.0,14.31,15.38
2010-08,331431.5,11.25,85.96,10.05,15.56,86.31,14.35,12.1
2010-09,330917.41,12.23,89.98,10.9,16.53,90.33,15.22,10.46
2010-10,330143.91,14.23,90.22,11.4,18.59,90.42,15.75,10.61
2010-11,334243.0,10.15,88.19,9.22,14.5,88.34,13.57,10.08
2010-12,335600.69,5.79,88.22,6.6,10.17,88.07,10.96,9.85
2011-01,337258.41,4.02,91.83,4.99,8.4,91.72,9.37,10.03
2011-02,334478.31,4.76,90.63,4.1,9.12,90.4,8.5,10.02
2011-03,337186.19,3.34,91.53,2.48,7.78,91.31,6.92,9.0
2011-04,334905.09,1.92,92.41,1.26,6.37,92.14,5.72,8.69
2011-05,336056.19,2.9,87.98,2.17,7.38,87.72,6.65,10.54
2011-06,335755.41,6.28,83.36,5.37,10.77,83.3,9.86,13.64
2011-07,336547.0,6.67,80.86,7.97,11.18,80.88,12.49,14.36
2011-08,329602.81,13.82,83.42,12.2,18.37,83.56,16.75,15.4
2011-09,332555.59,15.98,88.9,15.45,20.53,89.29,20.01,15.75
2011-10,328861.91,18.03,87.64,16.34,22.58,87.9,20.91,15.64
2011-11,334002.59,11.85,88.68,14.63,16.45,88.98,19.21,15.14
2011-12,335571.0,13.52,83.22,13.57,18.11,83.49,18.17,16.43
2012-01,337542.91,14.75,81.67,13.79,19.37,81.66,18.41,18.69
2012-02,335684.41,14.28,82.89,14.38,18.91,82.74,19.02,20.37
2012-03,337858.0,12.44,87.51,13.4,17.11,87.23,18.08,19.99
2012-04,332401.41,12.04,88.15,12.73,16.71,87.79,17.42,20.11
