DATE,AVELISPRI34820
2016-07-01,301800.0
2016-08-01,302216.0
2016-09-01,258462.0
2016-10-01,303895.0
2016-11-01,302496.0
2016-12-01,301161.0
2017-01-01,296015.0
2017-02-01,297415.0
2017-03-01,302398.0
2017-04-01,311290.0
2017-05-01,314648.0
2017-06-01,321605.0
2017-07-01,319814.0
2017-08-01,321794.0
2017-09-01,323127.0
2017-10-01,321990.0
2017-11-01,322203.0
2017-12-01,321055.0
2018-01-01,318063.0
2018-02-01,316139.0
2018-03-01,319239.0
2018-04-01,326080.0
2018-05-01,329170.0
2018-06-01,335093.0
2018-07-01,335340.0
2018-08-01,332048.0
2018-09-01,332235.0
2018-10-01,324602.0
2018-11-01,323891.0
2018-12-01,321131.0
2019-01-01,319246.0
2019-02-01,321953.0
2019-03-01,324419.0
2019-04-01,328101.0
2019-05-01,334518.0
2019-06-01,334366.0
2019-07-01,333905.0
2019-08-01,335823.0
2019-09-01,336818.0
2019-10-01,336839.0
2019-11-01,336543.0
2019-12-01,335038.0
2020-01-01,331099.0
2020-02-01,331921.0
2020-03-01,334916.0
2020-04-01,330342.0
2020-05-01,335955.0
2020-06-01,338609.0
2020-07-01,338785.0
2020-08-01,338198.0
2020-09-01,340523.0
2020-10-01,345503.0
2020-11-01,344287.0
2020-12-01,339667.0
2021-01-01,336497.0
2021-02-01,341315.0
2021-03-01,358388.0
2021-04-01,380515.0
2021-05-01,415142.0
2021-06-01,438169.0
2021-07-01,455729.0
2021-08-01,455912.0
2021-09-01,452653.0
2021-10-01,463494.0
2021-11-01,463687.0
2021-12-01,466837.0
2022-01-01,469702.0
2022-02-01,511881.0
2022-03-01,522448.0
2022-04-01,522954.0
2022-05-01,514677.0
2022-06-01,510375.0
2022-07-01,498857.0
2022-08-01,488707.0
2022-09-01,487023.0
2022-10-01,480956.0
2022-11-01,470578.0
2022-12-01,462545.0
2023-01-01,458227.0
2023-02-01,458511.0
2023-03-01,462179.0
