DATE,AVELISPRIUS
2016-07-01,442861.0
2016-08-01,439243.0
2016-09-01,439207.0
2016-10-01,443586.0
2016-11-01,444826.0
2016-12-01,444470.0
2017-01-01,447907.0
2017-02-01,459700.0
2017-03-01,470564.0
2017-04-01,478994.0
2017-05-01,485237.0
2017-06-01,483153.0
2017-07-01,478086.0
2017-08-01,471846.0
2017-09-01,472936.0
2017-10-01,474475.0
2017-11-01,473643.0
2017-12-01,473668.0
2018-01-01,477132.0
2018-02-01,488938.0
2018-03-01,499883.0
2018-04-01,509127.0
2018-05-01,512688.0
2018-06-01,511259.0
2018-07-01,504507.0
2018-08-01,495093.0
2018-09-01,494601.0
2018-10-01,495454.0
2018-11-01,496694.0
2018-12-01,493801.0
2019-01-01,494924.0
2019-02-01,508633.0
2019-03-01,521190.0
2019-04-01,532815.0
2019-05-01,537553.0
2019-06-01,536142.0
2019-07-01,532311.0
2019-08-01,526711.0
2019-09-01,523962.0
2019-10-01,523500.0
2019-11-01,523684.0
2019-12-01,523913.0
2020-01-01,525313.0
2020-02-01,544340.0
2020-03-01,553357.0
2020-04-01,541576.0
2020-05-01,557012.0
2020-06-01,584869.0
2020-07-01,603223.0
2020-08-01,622853.0
2020-09-01,635439.0
2020-10-01,642836.0
2020-11-01,641858.0
2020-12-01,644016.0
2021-01-01,658698.0
2021-02-01,688990.0
2021-03-01,706324.0
2021-04-01,725074.0
2021-05-01,726210.0
2021-06-01,715569.0
2021-07-01,688554.0
2021-08-01,672014.0
2021-09-01,667932.0
2021-10-01,673723.0
2021-11-01,677845.0
2021-12-01,679045.0
2022-01-01,704484.0
2022-02-01,744817.0
2022-03-01,761068.0
2022-04-01,767201.0
2022-05-01,770316.0
2022-06-01,754849.0
2022-07-01,728430.0
2022-08-01,711788.0
2022-09-01,703382.0
2022-10-01,703822.0
2022-11-01,700103.0
2022-12-01,698391.0
2023-01-01,710414.0
2023-02-01,739614.0
2023-03-01,761540.0
