Zip,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Coastal/Inland,Pair
SmoothedGSML_GIA_sigremoved,14.64,15.98,15.0,14.99,16.93,17.66,15.38,12.1,10.46,10.61,10.08,9.85,10.03,10.02,9.0,8.69,10.54,13.64,14.36,15.4,15.75,15.64,15.14,16.43,18.69,20.37,19.99,20.11,21.25,23.05,25.34,25.98,25.48,26.71,27.13,27.94,28.7,28.67,27.89,26.24,25.07,24.81,24.83,24.1,24.72,26.41,27.03,26.81,28.28,30.22,30.11,27.97,27.15,29.0,30.97,31.47,30.69,30.96,30.66,32.4,33.87,36.73,37.69,37.85,37.82,40.32,43.04,43.81,44.76,45.3,45.36,44.23,44.09,45.97,46.37,45.33,42.81,43.13,43.64,41.18,40.52,40.31,41.89,44.02,41.39,41.66,43.1,43.1,42.83,43.57,44.51,45.51,45.28,0,0
StdDevGMSL_GIA,84.58,87.21,85.81,84.26,84.8,84.35,82.0,86.31,90.33,90.42,88.34,88.07,91.72,90.4,91.31,92.14,87.72,83.3,80.88,83.56,89.29,87.9,88.98,83.49,81.66,82.74,87.23,87.79,87.78,84.35,82.57,84.01,87.39,87.8,84.96,81.55,81.37,83.57,84.16,88.22,87.01,81.89,83.09,84.21,87.11,85.84,83.35,83.75,81.12,83.75,86.95,84.08,85.24,81.13,80.14,83.76,88.04,88.09,89.07,84.69,85.66,87.73,88.6,90.78,89.43,91.22,91.86,97.4,103.01,106.3,107.34,104.88,100.02,98.51,96.36,96.17,93.48,92.74,90.16,87.43,88.7,88.83,87.37,85.11,81.15,82.05,87.69,85.58,82.17,83.08,82.02,86.26,87.08,0,0
GMSL_GIA,12.43,17.27,11.56,11.65,14.47,15.51,14.92,15.56,16.53,18.59,14.5,10.17,8.4,9.12,7.78,6.37,7.38,10.77,11.18,18.37,20.53,22.58,16.45,18.11,19.37,18.91,17.11,16.71,17.37,17.77,20.6,26.75,29.77,33.04,31.54,29.54,28.69,26.44,26.78,23.19,19.7,22.22,25.76,26.35,29.63,32.95,30.95,26.34,27.36,29.73,28.0,24.2,21.54,23.81,30.17,34.49,35.86,39.2,33.9,38.69,32.39,34.74,34.3,35.32,32.49,36.6,40.49,44.62,50.44,50.85,49.8,47.06,40.19,42.46,44.89,43.01,38.44,39.44,41.08,39.68,45.21,44.19,47.43,50.64,39.77,40.48,41.7,40.3,35.98,40.2,42.74,47.14,51.54,0,0
SmoothedGSML_noGIA,9.54,10.16,8.53,7.51,8.67,9.95,10.02,10.05,10.9,11.4,9.22,6.6,4.99,4.1,2.48,1.26,2.17,5.37,7.97,12.2,15.45,16.34,14.63,13.57,13.79,14.38,13.4,12.73,12.84,14.34,17.98,21.57,24.24,27.13,26.94,25.57,22.7,22.04,20.56,17.88,16.05,16.62,19.22,21.8,24.64,26.33,25.08,22.49,22.33,23.5,22.77,19.65,17.98,20.16,24.31,28.08,29.98,30.88,29.1,28.43,28.02,29.92,30.3,29.58,28.55,30.98,35.38,39.24,43.21,45.02,44.11,40.67,38.42,39.11,38.9,37.09,33.54,33.41,35.05,35.4,37.97,39.66,40.88,40.95,34.55,34.12,34.9,33.88,32.87,34.23,37.58,41.87,44.07,0,0
StdDevGMSL_noGIA,84.67,87.3,86.05,84.6,85.01,84.38,81.92,85.96,89.98,90.22,88.19,88.22,91.83,90.63,91.53,92.41,87.98,83.36,80.86,83.42,88.9,87.64,88.68,83.22,81.67,82.89,87.51,88.15,87.97,84.35,82.51,83.78,87.01,87.47,84.6,81.32,81.56,83.92,84.41,88.5,87.29,81.99,83.01,83.97,86.94,85.47,83.02,83.43,81.07,83.87,87.09,84.18,85.26,80.93,80.02,83.24,87.45,87.53,88.56,84.4,85.42,87.66,88.54,90.77,89.37,91.24,91.49,96.73,102.42,105.73,106.84,104.33,99.75,98.31,96.2,96.32,93.57,92.81,90.1,87.21,88.16,88.32,86.87,84.89,81.16,82.1,87.94,85.64,82.17,82.66,81.64,85.58,86.53,0,0
GMSL_noGIA,8.3,13.11,7.35,7.44,10.23,11.25,10.64,11.25,12.23,14.23,10.15,5.79,4.02,4.76,3.34,1.92,2.9,6.28,6.67,13.82,15.98,18.03,11.85,13.52,14.75,14.28,12.44,12.04,12.65,13.03,15.83,22.0,24.97,28.22,26.73,24.69,23.81,21.55,21.98,18.24,14.71,17.24,20.72,21.28,24.58,27.9,25.88,21.23,22.25,24.61,22.85,19.01,16.34,18.58,24.93,29.21,30.57,33.92,28.6,33.35,27.07,29.39,28.94,29.89,27.02,31.15,34.99,39.06,44.9,45.31,44.24,41.5,34.63,36.9,39.24,37.36,32.76,33.78,35.35,33.93,39.43,38.4,41.62,44.82,33.94,34.62,35.83,34.36,30.03,34.27,36.75,41.11,45.5,0,0
TotalWeightedObservations,336505.31,337393.41,335680.31,335204.0,336418.59,336233.59,336201.91,331431.5,330917.41,330143.91,334243.0,335600.69,337258.41,334478.31,337186.19,334905.09,336056.19,335755.41,336547.0,329602.81,332555.59,328861.91,334002.59,335571.0,337542.91,335684.41,337858.0,332401.41,334163.0,336495.0,337024.81,331282.41,331942.41,329162.69,334026.69,336879.19,333237.19,337714.91,88863.8,334704.41,335043.81,335316.91,331324.59,332255.0,330502.09,332307.09,334475.81,335779.0,337416.91,338113.59,335904.81,334425.31,334449.31,332034.91,333016.19,330758.31,328248.59,330350.59,333215.59,336062.81,336854.31,338376.5,335135.59,336179.09,335113.91,335841.31,333000.19,332274.91,330305.91,330283.91,331748.31,334989.5,334690.41,334459.09,333800.41,335285.81,331491.69,334297.81,334806.31,332246.09,328624.91,332695.31,330627.09,336391.59,334827.59,335132.41,334131.81,332204.5,336082.81,334922.41,333067.69,331393.41,333942.19,0,0
SmoothedGSML_GIA,13.67,14.32,12.72,11.73,12.92,14.21,14.31,14.35,15.22,15.75,13.57,10.96,9.37,8.5,6.92,5.72,6.65,9.86,12.49,16.75,20.01,20.91,19.21,18.17,18.41,19.02,18.08,17.42,17.56,19.07,22.74,26.35,29.03,31.93,31.75,30.41,27.58,26.93,25.48,22.83,21.03,21.62,24.25,26.84,29.69,31.4,30.16,27.58,27.43,28.62,27.92,24.83,23.18,25.39,29.55,33.34,35.26,36.18,34.41,33.77,33.36,35.28,35.69,35.0,34.0,36.44,40.87,44.78,48.76,50.57,49.66,46.24,43.99,44.7,44.53,42.75,39.22,39.11,40.79,41.16,43.75,45.45,46.68,46.76,40.38,39.98,40.79,39.8,38.81,40.19,43.57,47.89,50.1,0,0
36576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900.0,179900.0,175450.0,180000.0,180000.0,175900.0,172400.0,175100.0,175000.0,175100.0,175000.0,173000.0,169900.0,182900.0,185900.0,172900.0,172406.5,174900.0,172406.5,183900.0,183900.0,172500.0,180500.0,186200.0,180000.0,179950.0,183750.0,167125.0,179900.0,171450.0,172000.0,176900.0,176900.0,174700.0,174900.0,181250.0,194900.0,198000.0,199945.0,199900.0,204900.0,209950.0,189900.0,190200.0,175250.0,179450.0,177950.0,179900.0,159900.0,165535.0,0,1
36532.0,278900.0,285000.0,279700.0,264500.0,274950.0,272200.0,265000.0,274900.0,275000.0,269900.0,259900.0,258000.0,259500.0,249900.0,250450.0,259250.0,268400.0,259000.0,249900.0,258450.0,258950.0,264770.0,264770.0,265500.0,274000.0,278950.0,279000.0,275000.0,279000.0,265000.0,261571.5,249900.0,249000.0,249900.0,258950.0,250000.0,250000.0,259450.0,269925.0,264900.0,258074.0,258950.0,258950.0,254900.0,260000.0,258900.0,262262.5,265450.0,250000.0,264900.0,272900.0,279950.0,289900.0,286171.0,289900.0,284400.0,279000.0,270132.5,255000.0,268950.0,271750.0,279685.0,297000.0,300000.0,310000.0,300000.0,305475.0,298475.0,279900.0,299450.0,313637.5,319410.0,312642.5,334950.0,355000.0,338950.0,339255.0,337340.0,359900.0,369000.0,369360.0,375000.0,369900.0,370800.0,344367.5,349950.0,353825.0,369900.0,374415.0,379900.0,389000.0,383145.0,370000.0,1,1
