Zip,Coastal/Inland,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
94014.0,0,1,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
94015.0,1,1,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
93940.0,0,2,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
93950.0,1,2,2010-01,749900.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
93109.0,1,3,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
93108.0,0,3,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
77505.0,1,4,2010-01,169500.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
77504.0,0,4,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33137.0,1,5,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33127.0,0,5,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33129.0,1,6,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33145.0,0,6,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33131.0,1,7,2010-01,300000.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33130.0,0,7,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33308.0,1,8,2010-01,356200.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33060.0,0,9,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
33062.0,1,9,2010-01,339000.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
70124.0,1,10,2010-01,289000.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
70118.0,0,10,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
70122.0,1,11,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
70119.0,0,11,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
70126.0,1,12,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
77062.0,0,13,2010-01,164888.5,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
77058.0,1,13,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
77015.0,1,14,2010-01,96900.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10305.0,1,16,2010-01,384450.0,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10304.0,0,16,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10314.0,1,17,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
11204.0,0,18,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
11214.0,1,18,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
11209.0,1,19,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10023.0,0,20,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10069.0,1,20,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10003.0,0,21,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
10010.0,1,21,2010-01,,336505.31,8.3,84.67,9.54,12.43,84.58,13.67,14.64
94014.0,0,1,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
94015.0,1,1,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
93940.0,0,2,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
93950.0,1,2,2010-02,699000.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
