Zip,Inland/Coastal,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
36576.0,0,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
36532.0,1,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
36605.0,1,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
36606.0,0,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
99501.0,1,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
99508.0,0,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
94014.0,0,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
94015.0,1,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
93950.0,1,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
93940.0,0,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
93109.0,1,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
93108.0,0,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
77505.0,1,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
77504.0,0,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19947.0,0,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19968.0,1,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19963.0,1,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19960.0,0,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19904.0,0,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19901.0,1,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19720.0,1,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
19702.0,0,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33137.0,1,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33127.0,0,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33129.0,1,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33145.0,0,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33131.0,1,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33130.0,0,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33308.0,1,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33309.0,0,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33062.0,1,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
33060.0,0,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
32226.0,1,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
32218.0,0,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
96778.0,1,18,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
96771.0,0,18,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70124.0,1,19,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70118.0,0,19,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70122.0,1,20,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70119.0,0,20,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70126.0,1,21,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
70116.0,0,21,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
39501.0,1,22,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
39503.0,0,22,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29412.0,1,23,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29407.0,0,23,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29577.0,1,24,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29579.0,0,24,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29566.0,0,25,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
29582.0,1,25,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
77062.0,0,26,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55
