Zip,Inland/Coastal,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved,PredPrice,PredLogPrice
36576.0,0,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,305054.6620765161,12.48665841696755
36532.0,1,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,246560.71106333088,12.496287186976472
36605.0,1,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,66904.78713964466,11.334828348388818
36606.0,0,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,125398.73815282989,11.325199578379896
99501.0,1,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,254370.163120155,12.539899560890706
99508.0,0,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,312864.11413334025,12.530270790881783
94014.0,0,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,732022.3170973574,13.485330822985418
94015.0,1,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,673528.3660841722,13.49495959299434
93950.0,1,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,758380.5203689407,13.621560573375488
93940.0,0,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,816874.4713821259,13.611931803366566
93109.0,1,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2905023.7533456795,14.82995106049797
93108.0,0,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2963517.7043588646,14.820322290489049
77505.0,1,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,192116.6659877172,12.244206562868438
77504.0,0,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,250610.61700090242,12.234577792859515
19947.0,0,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,304382.3203262015,12.512682384331493
19968.0,1,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,245888.36931301624,12.522311154340416
19963.0,1,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,209638.1316580305,12.372540995509175
19960.0,0,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,268132.0826712157,12.362912225500253
19904.0,0,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,244568.36602512858,12.246836474036101
19901.0,1,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,186074.41501194332,12.256465244045023
19720.0,1,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,179596.86867979067,12.227761004141012
19702.0,0,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,238090.8196929759,12.218132234132089
33137.0,1,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,393417.68274209334,12.906312783506602
33127.0,0,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,451911.63375527866,12.89668401349768
33129.0,1,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,418882.98784660955,13.018732201355478
33145.0,0,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,477376.9388597948,13.009103431346556
33131.0,1,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,414553.7494239925,13.028791420492771
33130.0,0,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,473047.7004371778,13.01916265048385
33308.0,1,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,283617.3025117956,12.573457589253353
33309.0,0,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,342111.25352498086,12.563828819244431
33062.0,1,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,324972.4293704947,12.769203244273525
33060.0,0,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,383466.3803836799,12.759574474264602
32226.0,1,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,193963.36076502647,12.301675638074386
32218.0,0,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,252457.31177821168,12.292046868065464
