Zip,Inland/Coastal,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved,PredPrice
36576.0,0,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,305054.6620765161
36532.0,1,1,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,246560.71106333088
36605.0,1,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,66904.78713964466
36606.0,0,2,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,125398.73815282989
99501.0,1,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,254370.163120155
99508.0,0,3,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,312864.11413334025
94014.0,0,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,732022.3170973574
94015.0,1,4,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,673528.3660841722
93950.0,1,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,758380.5203689407
93940.0,0,5,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,816874.4713821259
93109.0,1,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2905023.7533456795
93108.0,0,6,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2963517.7043588646
77505.0,1,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,192116.6659877172
77504.0,0,7,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,250610.61700090242
19947.0,0,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,304382.3203262015
19968.0,1,8,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,245888.36931301624
19963.0,1,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,209638.1316580305
19960.0,0,9,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,268132.0826712157
19904.0,0,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,244568.36602512858
19901.0,1,10,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,186074.41501194332
19720.0,1,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,179596.86867979067
19702.0,0,11,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,238090.8196929759
33137.0,1,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,393417.68274209334
33127.0,0,12,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,451911.63375527866
33129.0,1,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,418882.98784660955
33145.0,0,13,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,477376.9388597948
33131.0,1,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,414553.7494239925
33130.0,0,14,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,473047.7004371778
33308.0,1,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,283617.3025117956
33309.0,0,15,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,342111.25352498086
33062.0,1,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,324972.4293704947
33060.0,0,16,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,383466.3803836799
32226.0,1,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,193963.36076502647
32218.0,0,17,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,252457.31177821168
96778.0,1,18,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,179835.02478124195
96771.0,0,18,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,238328.9757944272
70124.0,1,19,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,381616.25569395727
70118.0,0,19,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,440110.2067071425
70122.0,1,20,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,237848.54485912493
70119.0,0,20,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,296342.49587231013
70126.0,1,21,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,197927.90353157738
70116.0,0,21,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,256421.85454476264
39501.0,1,22,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,107342.8182377485
39503.0,0,22,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,165836.76925093372
29412.0,1,23,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,278623.8767224747
29407.0,0,23,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,337117.8277356599
29577.0,1,24,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,157335.28928119433
29579.0,0,24,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,215829.2402943796
29566.0,0,25,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,239457.60676115163
29582.0,1,25,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,180963.65574796643
77062.0,0,26,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,229041.21522846818
77058.0,1,26,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,170547.26421528292
77015.0,1,27,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,112665.5141142464
77020.0,0,27,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,171159.4651274316
21403.0,1,28,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,445855.77253882436
21401.0,0,28,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,504349.72355200956
21122.0,1,29,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,275001.01178613596
21060.0,0,29,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,333494.9627993212
21220.0,1,30,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,187341.3366121007
21237.0,0,30,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,245835.2876252859
10305.0,1,31,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,418650.56290856365
10304.0,0,31,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,477144.51392174885
10306.0,0,32,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,474912.1205980178
10314.0,1,32,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,416418.1695848326
11214.0,1,33,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,641820.5076423697
11204.0,0,33,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,700314.4586555549
10023.0,0,34,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2447528.6006248407
10069.0,1,34,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2389034.6496116556
10003.0,0,35,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2470189.941930308
10010.0,1,35,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,2411695.9909171225
28468.0,1,36,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,184284.905797101
28467.0,0,36,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,242778.85681028623
23502.0,0,37,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,256944.57839071925
23518.0,1,37,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,198450.62737753405
23666.0,0,38,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,208793.2101111496
23661.0,1,38,2017-10,,331952.59,44.23,88.79,44.62,50.29,89.33,50.66,45.55,150299.2590979644
36576.0,0,1,2017-11,,336211.81,45.59,85.39,45.42,51.62,85.81,51.46,48.07,307658.69821234146
36532.0,1,1,2017-11,,336211.81,45.59,85.39,45.42,51.62,85.81,51.46,48.07,247264.11819043872
36605.0,1,2,2017-11,,336211.81,45.59,85.39,45.42,51.62,85.81,51.46,48.07,67608.19426675251
